DR1ILINE,DR1DRSTZ,DRABF,DR1DAY,DR1LANG,DR1CCMTX,DR1_030Z,DR1FS,DR1_040Z,DR1IGRMS
1,1,2,2,1,5.40E-79,1,3,1,80.58
2,1,2,2,1,5.40E-79,1,1,1,248
3,1,2,2,1,12,2,1,2,100
4,1,2,2,1,12,2,1,2,5.67
5,1,2,2,1,5.40E-79,2,1,2,112
6,1,2,2,1,5.40E-79,2,,2,240
7,1,2,2,1,1,2,1,2,7.67
8,1,2,2,1,1,2,1,2,0.47
9,1,2,2,1,5.40E-79,6,1,1,26
10,1,2,2,1,5.40E-79,3,1,1,248
11,1,2,2,1,5.40E-79,3,1,1,34
12,1,2,2,1,5.40E-79,3,1,1,11.25
13,1,2,2,1,5.40E-79,6,1,1,28.35
1,1,2,1,1,1,1,27,2,870
2,1,2,1,1,1,1,27,2,30
3,1,2,1,1,5.40E-79,1,1,2,80
4,1,2,1,1,5.40E-79,2,2,2,271.13
5,1,2,1,1,4,2,2,2,14.7
6,1,2,1,1,4,2,2,2,6.25
7,1,2,1,1,4,2,2,2,8.75
8,1,2,1,1,4,2,2,2,2.5
9,1,2,1,1,4,2,2,2,5
10,1,2,1,1,4,2,2,2,7.5
11,1,2,1,1,4,2,2,2,7.06
12,1,2,1,1,90,2,2,2,122.06
13,1,2,1,1,90,2,2,2,30.52
14,1,2,1,1,5.40E-79,2,,2,315
15,1,2,1,1,5.40E-79,6,1,1,184
16,1,2,1,1,5.40E-79,6,14,1,51
17,1,2,1,1,5.40E-79,6,1,1,19.69
1,1,2,2,1,90,1,1,1,100
2,1,2,2,1,90,1,1,1,40
3,1,2,2,1,5.40E-79,1,,1,225
4,1,2,2,1,5.40E-79,2,7,2,102
5,1,2,2,1,5.40E-79,2,7,2,240
6,1,2,2,1,5.40E-79,7,14,1,186
7,1,2,2,1,5.40E-79,6,1,1,53.13
8,1,2,2,1,5.40E-79,6,,1,330
9,1,2,2,1,12,3,1,1,60
10,1,2,2,1,12,3,1,1,11.33
11,1,2,2,1,5.40E-79,3,,1,330
12,1,2,2,1,5.40E-79,6,1,1,150
13,1,2,2,1,5.40E-79,6,,1,330
14,1,2,2,1,5.40E-79,6,,1,330
15,1,2,2,1,3,6,1,1,66
16,1,2,2,1,3,6,1,1,18.67
1,1,2,7,6,5.40E-79,1,1,2,60
2,1,2,7,6,5.40E-79,9,1,2,1440
3,1,2,7,6,5.40E-79,1,16,2,2.75
4,1,2,7,6,5.40E-79,2,1,2,60
5,1,2,7,6,5.40E-79,2,1,2,15.25
6,1,2,7,6,5.40E-79,2,1,2,8
7,1,2,7,6,5.40E-79,2,1,2,100
8,1,2,7,6,5.40E-79,6,1,1,36.5
9,1,2,7,6,5.40E-79,6,,1,360
10,1,2,7,6,5.40E-79,3,1,1,39.5
11,1,2,7,6,5.40E-79,3,19,1,216.56
12,1,2,7,6,5.40E-79,3,19,1,299.25
13,1,2,7,6,5.40E-79,3,,1,360
14,1,2,7,6,5.40E-79,6,1,1,75
1,1,2,6,1,5.40E-79,1,1,1,39.97
2,1,2,6,1,5.40E-79,1,1,1,1.75
3,1,2,6,1,5.40E-79,1,1,1,8.44
