age,frequency
16,4
19,5
17,4
20,5
18,5
13,3
24,5
15,4
12,3
21,4
18,3
16,2
16,2
16,5
12,5
16,4
13,4
15,5
15,5
15,5
14,5
14,5
24,1
15,3
22,4
14,5
25,5
14,5
18,1
19,3
15,5
15,5
21,5
16,3
18,5
17,3
25,4
20,5
12,4
21,3
19,5
22,1
29,4
16,3
15,2
15,3
23,3
14,3
15,4
16,2
16,5
13,1
18,4
15,3
30,4
21,5
18,4
18,5
23,2
17,5
20,4
19,4
13,4
17,5
13,5
13,5
15,2
24,5
15,5
14,5
18,3
25,3
19,3
17,5
18,4
21,3
15,3
16,3
13,5
16,4
25,3
12,5
20,4
17,5
21,4
11,5
15,3
15,5
21,4
42,2
15,2
14,3
15,5
15,5
51,3
35,5
16,5
19,3
16,5
25,1
21,2
18,4
18,2
12,5
16,5
15,5
13,5
19,4
25,3
15,4
24,3
12,1
16,5
20,4
15,5
18,4
17,1
25,5
19,2
21,5
12,5
17,5
18,5
17,5
16,5
16,1
17,1
18,3
19,3
14,5
19,4
20,2
29,4
16,5
15,3
11,1
40,3
14,3
17,2
22,4
15,5
12,5
50,2
14,1
12,5
21,4
22,5
15,5
18,2
12,5
16,4
14,3
15,4
18,3
18,4
16,5
25,3
14,5
17,3
33,4
11,5
17,4
14,4
14,2
14,5
18,5
15,4
16,3
14,5
20,2
25,1
39,2
21,3
18,5
18,5
16,4
13,5
18,4
30,3
16,5
25,4
18,5
11,3
22,1
18,5
13,5
18,3
19,5
13,2
21,4
22,5
18,3
25,5
18,5
15,1
43,3
20,5
19,3
49,2
21,3
16,5
15,3
18,4
16,2
16,5
18,5
18,4
18,2
17,5
16,5
22,2
14,5
17,2
18,2
15,2
16,4
19,2
17,4
13,5
12,2
30,4
31,2
16,4
17,3
18,2
13,4
23,2
15,3
17,5
17,5
21,2
20,2
21,5
21,5
16,5
17,5
18,4
15,3
18,2
11,5
14,5
17,4
16,3
12,5
19,1
22,3
19,1
30,5
19,3
16,1
17,4
20,5
15,1
17,3
18,3
17,5
18,4
21,4
21,4
16,3
19,1
17,4
12,4
15,3
40,5
16,4
15,4
19,4
18,4
16,2
15,4
12,2
18,5
13,5
15,5
15,2
24,5
17,5
30,5
16,2
21,5
18,5
17,2
18,4
22,4
18,4
23,5
13,4
15,5
16,3
24,4
18,5
30,1
16,4
16,4
13,5
17,4
25,1
18,5
16,3
18,3
23,5
16,5
19,4
15,4
15,4
17,3
11,5
16,4
11,4
15,5
16,5
21,4
19,4
19,4
16,5
19,5
23,5
22,5
20,4
19,2
16,3
25,5
21,2
30,4
16,2
16,5
16,1
21,4
16,2
16,3
12,3
21,4
11,1
17,2
17,5
16,2
17,5
17,2
27,1
14,5
17,4
13,5
26,5
11,5
18,2
17,4
45,3
15,5
17,3
14,4
16,3
18,3
17,2
17,5
16,2
21,5
15,5
15,4
18,5
18,5
13,4
15,4
24,4
30,2
42,4
16,2
17,5
15,4
16,5
24,4
15,5
16,2
16,2
15,3
13,1
18,2
14,5
12,5
15,5
18,5
20,5
16,3
35,5
20,4
18,2
25,2
14,4
18,4
19,5
16,3
16,5
16,5
17,3
16,5
23,5
21,5
16,4
17,5
21,5
16,5
21,5
17,4
21,3
17,5
13,5
21,4
13,5
11,5
17,4
17,3
20,3
17,4
11,5
15,4
17,5
15,3
17,5
25,5
28,5
16,5
14,4
23,5
16,3
19,3
54,2
27,5
45,2
15,5
17,4
16,4
18,5
16,5
21,4
17,3
18,2
25,5
22,4
15,1
15,3
18,5
39,2
18,5
18,3
16,3
20,3
22,2
12,5
16,4
18,2
23,2
23,3
17,5
20,3
